"","rank","title","authors","affiliations","pubtitle","punumber","py","volume","issue","part","spage","epage","arnumber","abstract","doi","mdurl","pdf","pubtype","publisher","isbn","issn","publicationId","thesaurusterms","controlledterms","uncontrolledterms","htmlFlag"
"11","11","Effect of Source/Drain Lateral Straggle on Distortion and Intrinsic Performance of Asymmetric Underlap DG-MOSFETs","Koley, K.;  Dutta, A.;  Saha, S.K.;  Sarkar, C.K.","Electron. & Telecommun. Eng. Dept., Jadavpur Univ., Kolkata, India","Electron Devices Society, IEEE Journal of the","6245494","2014","2","6","","135","144","6862860","This paper presents a systematic study of the effect of source/drain (S/D) implant lateral straggle on the RF performance of the symmetric and asymmetric underlap double gate (UDG) MOSFET devices. The length of the underlap regions (L<sub>un</sub>) on each side of the gate is a critical technology parameter in determining the performance of UDG-MOSFETs. However, the value of L<sub>un</sub> is susceptible to variation due to S/D implant lateral diffusion. Therefore, it is critical to investigate the impact of S/D implant lateral straggle on the performance of UDG-MOSFETs. This paper shows that the improvement in the RF performance of the UDG-MOSFETs over the conventional DG-MOSFETs can be achieved by optimizing the S/D lateral straggle of the asymmetric UDG-MOSFETs. The RF performance study includes intrinsic capacitances and resistances, transport delay, inductance, and the cut-off frequency.","10.1109/JEDS.2014.2342613","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6862860&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6862860","Journals & Magazines","IEEE","","2168-6734","6862860","Capacitance|Inductance|MOSFET|Performance evaluation|Radio frequency|Resistance","MOSFET|distortion","","1"
"12","12","Multiband Carrierless Amplitude Phase Modulation for High Capacity Optical Data Links","Olmedo, M.I.;  Tianjian Zuo;  Jensen, J.B.;  Qiwen Zhong;  Xiaogeng Xu;  Popov, S.;  Monroy, I.T.","Dept. of Photonics Eng., Tech. Univ. of Denmark (DTU), Lyngby, Denmark","Lightwave Technology, Journal of","50","2014","32","4","","798","804","6626568","Short range optical data links are experiencing bandwidth limitations making it very challenging to cope with the growing data transmission capacity demands. Parallel optics appears as a valid short-term solution. It is, however, not a viable solution in the long-term because of its complex optical packaging. Therefore, increasing effort is now put into the possibility of exploiting higher order modulation formats with increased spectral efficiency and reduced optical transceiver complexity. As these type of links are based on intensity modulation and direct detection, modulation formats relying on optical coherent detection can not be straight forwardly employed. As an alternative and more viable solution, this paper proposes the use of carrierless amplitude phase (CAP) in a novel multiband approach (MultiCAP) that achieves record spectral efficiency, increases tolerance towards dispersion and bandwidth limitations, and reduces the complexity of the transceiver. We report on numerical simulations and experimental demonstrations with capacity beyond 100 Gb/s transmission using a single externally modulated laser. In addition, an extensive comparison with conventional CAP is also provided. The reported experiment uses MultiCAP to achieve 102.4 Gb/s transmission, corresponding to a data payload of 95.2 Gb/s error free transmission by using a 7% forward error correction code. The signal is successfully recovered after 15 km of standard single mode fiber in a system limited by a 3 dB bandwidth of 14 GHz.","10.1109/JLT.2013.2284926","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6626568&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6626568","Journals & Magazines","IEEE","","0733-8724","6626568","Bandwidth|Bit error rate|Optical fiber communication|Optical filters|Optical modulation|Optical transmitters|Quadrature amplitude modulation","amplitude modulation|forward error correction|optical links|optical transceivers","","1"
"13","13","Study on Bearing Impedance Properties at Several Hundred Kilohertz for Different Electric Machine Operating Parameters","Niskanen, V.;  Muetze, A.;  Ahola, J.","Lappeenranta Univ., Lappeenranta, Finland","Industry Applications, IEEE Transactions on","28","2014","50","5","","3438","3447","6748940","The possibility of bearing damage caused by inverter-induced bearing currents in modern variable-speed drive systems has been well recognized. However, the breakdown and current conduction mechanisms have still not been well understood today. We present results on the HF impedance properties of rolling element bearings at 300-kHz and 1.5-MHz signals-frequencies taken from the typical spectra of HF circulating bearing currents. Different motor speeds, bearing temperatures, voltages across the bearing, and two different motor sizes are investigated. Notably, we analyze the frequency of transitions between ohmic and capacitive behavior (or vice versa)-the &#x201C;mode transitions&#x201D;-as a function of these operating parameters: For some operating conditions, the bearing impedance alternates between capacitive and ohmic behavior without any modification of the macroscopic conditions it is subjected to.","10.1109/TIA.2014.2308392","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6748940&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748940","Journals & Magazines","IEEE","","0093-9994","6748940","Current measurement|Discharges (electric)|Hafnium|Impedance|Inverters|Temperature measurement|Voltage measurement","electric impedance|invertors|motor drives|rolling bearings|variable speed drives","","1"
"14","14","A Novel Piecewise Linear Recursive Convolution Approach for Dispersive Media Using the Finite-Difference Time-Domain Method","Giannakis, I.;  Giannopoulos, A.","Inst. of Infrastruct. & Environ., Univ. of Edinburgh, Edinburgh, UK","Antennas and Propagation, IEEE Transactions on","8","2014","62","5","","2669","2678","6748914","Two novel methods for implementing recursively the convolution between the electric field and a time dependent electric susceptibility function in the finite-difference time domain (FDTD) method are presented. Both resulting algorithms are straightforward to implement and employ an inclusive susceptibility function which holds as special cases the Lorentz, Debye, and Drude media relaxations. The accuracy of the new proposed algorithms is found to be systematically improved when compared to existing standard piecewise linear recursive convolution (PLRC) approaches, it is conjectured that the reason for this improvement is that the new proposed algorithms do not make any assumptions about the time variation of the polarization density in each time interval; no finite difference or semi-implicit schemes are used for the calculation of the polarization density. The only assumption that these two new methods make is that the first time derivative of the electric field is constant within each FDTD time interval.","10.1109/TAP.2014.2308549","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6748914&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748914","Journals & Magazines","IEEE","","0018-926X","6748914","Convolution|Dispersion|Finite difference methods|Media|Permittivity|Time-domain analysis","convolution|dispersive media|electric fields|electromagnetic wave propagation|finite difference time-domain analysis|piecewise linear techniques|recursive estimation","","1"
"15","15","Reliability of Capacitors for DC-Link Applications in Power Electronic Converters&#x2014;An Overview","Huai Wang;  Blaabjerg, F.","Dept. of Energy Technol., Aalborg Univ., Aalborg, Denmark","Industry Applications, IEEE Transactions on","28","2014","50","5","","3569","3578","6748007","DC-link capacitors are an important part in the majority of power electronic converters which contribute to cost, size and failure rate on a considerable scale. From capacitor users' viewpoint, this paper presents a review on the improvement of reliability of dc link in power electronic converters from two aspects: 1) reliability-oriented dc-link design solutions; 2) conditioning monitoring of dc-link capacitors during operation. Failure mechanisms, failure modes and lifetime models of capacitors suitable for the applications are also discussed as a basis to understand the physics-of-failure. This review serves to provide a clear picture of the state-of-the-art research in this area and to identify the corresponding challenges and future research directions for capacitors and their dc-link applications.","10.1109/TIA.2014.2308357","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6748007&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748007","Journals & Magazines","IEEE","","0093-9994","6748007","Capacitance|Capacitors|Films|Integrated circuits|Reliability|Stress","ceramic capacitors|condition monitoring|failure analysis|power convertors|reliability","","1"
"16","16","Co-Channel Interference Modeling in Cognitive Wireless Networks","Jian Li;  Shenghong Li;  Feng Zhao;  Rong Du","Dept. of Electron. Eng., Shanghai Jiao Tong Univ., Shanghai, China","Communications, IEEE Transactions on","26","2014","62","9","","3114","3128","6862033","Cognitive radio is a promising technology for sharing the underutilized frequency bands that have been licensed to primary users. However, due to the uncertainty in detecting the existence of the primary user, the secondary user may interfere with the primary users when both primary and secondary users are active simultaneously. Therefore, understanding the interference and its consequences on the cognitive network is critical. Unlike the statistical models previously reported in the literature that aim at approximation of the interference, based on the solid mathematical analysis, we propose an accurate model for describing the co-channel interference with probability density function, cumulative distribution function, mean, and variance of the interference suffered by the primary users. The proposed model not only takes into account a number of factors, such as the spectrum-sensing scheme, the spatial distribution of secondary users, and the channel conditions, including shadowing and Nakagami fading, but also gives an exact mathematical expression of the influences from these factors. The developed framework supports practical applications such as evaluating the cognitive network of any spatial shape and density of the secondary users and the methods of power control and spectrum sensing used by the secondary users. Simulation results are provided to verify the effectiveness of the analytical model.","10.1109/TCOMM.2014.2341628","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6862033&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6862033","Journals & Magazines","IEEE","","0090-6778","6862033","Cognitive radio|Distribution functions|Fading|Interference|Mathematical model|Sensors|Shape","cochannel interference|cognitive radio|mathematical analysis|probability|signal detection","","1"
"17","17","Capacity-Approaching Superposition Coding for Optical Fiber Links","Estaran, J.;  Zibar, D.;  Monroy, I.T.","Dept. of Photonics Eng., Tech. Univ. of Denmark, Lyngby, Denmark","Lightwave Technology, Journal of","50","2014","32","17","","2960","2972","6843879","We report on the first experimental demonstration of superposition coded modulation (SCM) for polarization-multiplexed coherent-detection optical fiber links. The proposed coded modulation scheme is combined with phase-shifted bit-to-symbol mapping (PSM) in order to achieve geometric and passive shaping of the signal's waveform. The output constellations in SCM-PSM exhibit nonbijective quasi-Gaussian statistical distributions that asymptotically reach the Shannon capacity limit, showing up to 0.7 dB sensitivity improvement for 256-ary SCM-PSM with respect to 256-ary quadrature amplitude modulation (QAM). The characteristic wave formation based on superposition of antipodal symbols and the lack of need for additional encoders for signal shaping, greatly reduces the transmitter and receiver processing complexity in comparison to conventional alternatives. Single-level coding strategy (SL-SCM) is employed in the framework of bit-interleaved coded modulation with iterative decoding (BICM-ID) for forward error correction. The fiber transmission system is characterized in terms of signal-to-noise ratio for back-to-back case and correlated with simulated results for ideal transmission over additive white Gaussian noise channel. Thereafter, successful demodulation and decoding after dispersion-unmanaged transmission over 240-km standard single mode fiber of dual-polarization 6-Gbaud 16-, 32- and 64-ary SCM-PSM is experimentally demonstrated.","10.1109/JLT.2014.2333235","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6843879&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6843879","Journals & Magazines","IEEE","","0733-8724","6843879","Constellation diagram|Encoding|Optical fiber communication|Quadrature amplitude modulation|Receivers|Signal to noise ratio","Gaussian distribution|decoding|encoding|optical fibre communication|optical modulation","","1"
"18","18","Power-Constrained Contrast Enhancement Algorithm Using Multiscale Retinex for OLED Display","Yeon-Oh Nam;  Dong-Yoon Choi;  Byung Cheol Song","Dept. of Electron. Eng., Inha Univ., Incheon, South Korea","Image Processing, IEEE Transactions on","83","2014","23","8","","3308","3320","6815989","This paper presents a power-constrained contrast enhancement algorithm for organic light-emitting diode display based on multiscale retinex (MSR). In general, MSR, which is the key component of the proposed algorithm, consists of power controllable log operation and subbandwise gain control. First, we decompose an input image to MSRs of different sub-bands, and compute a proper gain for each MSR. Second, we apply a coarse-to-fine power control mechanism, which recomputes the MSRs and gains. This step iterates until the target power saving is accurately accomplished. With video sequences, the contrast levels of adjacent images are determined consistently using temporal coherence in order to avoid flickering artifacts. Finally, we present several optimization skills for real-time processing. Experimental results show that the proposed algorithm provides better visual quality than previous methods, and a consistent power-saving ratio without flickering artifacts, even for video sequences.","10.1109/TIP.2014.2324288","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6815989&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815989","Journals & Magazines","IEEE","","1057-7149","6815989","Dynamic range|Electronic mail|Materials|Organic light emitting diodes|Power control|Power demand|Video sequences","LED displays|gain control|image enhancement|image sequences|optimisation|organic light emitting diodes|power control|real-time systems","","1"
"19","19","Feature Extraction Using Extrema Sampling of Discrete Derivatives for Spike Sorting in Implantable Upper-Limb Neural Prostheses","Zamani, M.;  Demosthenous, A.","Dept. of Electron. & Electr. Eng., Univ. Coll. London, London, UK","Neural Systems and Rehabilitation Engineering, IEEE Transactions on","7333","2014","22","4","","716","726","6757022","Next generation neural interfaces for upper-limb (and other) prostheses aim to develop implantable interfaces for one or more nerves, each interface having many neural signal channels that work reliably in the stump without harming the nerves. To achieve real-time multi-channel processing it is important to integrate spike sorting on-chip to overcome limitations in transmission bandwidth. This requires computationally efficient algorithms for feature extraction and clustering suitable for low-power hardware implementation. This paper describes a new feature extraction method for real-time spike sorting based on extrema analysis (namely positive peaks and negative peaks) of spike shapes and their discrete derivatives at different frequency bands. Employing simulation across different datasets, the accuracy and computational complexity of the proposed method are assessed and compared with other methods. The average classification accuracy of the proposed method in conjunction with online sorting (O-Sort) is 91.6%, outperforming all the other methods tested with the O-Sort clustering algorithm. The proposed method offers a better tradeoff between classification error and computational complexity, making it a particularly strong choice for on-chip spike sorting.","10.1109/TNSRE.2014.2309678","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6757022&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6757022","Journals & Magazines","IEEE","","1534-4320","6757022","Accuracy|Clustering algorithms|Feature extraction|Microchannel|Principal component analysis|Shape|Sorting","bioelectric phenomena|computational complexity|feature extraction|medical signal processing|neurophysiology|pattern clustering|prosthetics|signal classification","","1"
"20","20","Package Optimization of the Cilium-Type MEMS Bionic Vector Hydrophone","Liu Linxian;  Zhang Wendong;  Zhang Guojun;  Xue Chenyang","Key Lab. of Instrum. Sci. & Dynamic Meas., North Univ. of China, Taiyuan, China","Sensors Journal, IEEE","7361","2014","14","4","","1185","1192","6678570","We optimize the package of the cilium-type MEMS bionic vector hydrophone introduced by Chenyang and Wendong in 2007, which has the disadvantages of a low receiving sensitivity, narrow frequency band, and fluctuating frequency response curve. Initially, a full parametric analysis of frequency response and sensitivity with different material sound transparent cap were made. Then, we propose and realize an umbrella-type packaged structure with high receiving sensitivity and wide frequency band. The theoretical analysis and simulation analysis are conducted by ANSYS software and LMS virtual. Lab acoustic software. Finally, to verify the practicability of the package, the umbrella-type packaged hydrophone calibration was carried out in the National Defense Underwater Acoustics Calibration Laboratory of China. The test results show that the performance of umbrella-type hydrophone has been greatly improved compared with the previous packaged hydrophone: exhibiting a receiving sensitivity of -178 dB (increasing by 20 dB, 0-dB reference 1 V/&#x03BC;Pa), the frequency response ranging from 20 Hz to 2 kHz (broaden one times), the fluctuation of frequency response curve within &#x00B1;2 dB, and a good dipole directivity.","10.1109/JSEN.2013.2293669","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6678570&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6678570","Journals & Magazines","IEEE","","1530-437X","6678570","Acoustics|Frequency response|Materials|Resonant frequency|Sensitivity|Sonar equipment|Vectors","biocybernetics|calibration|electronics packaging|hydrophones|microsensors|optimisation","","1"
"21","21","A Real-Time Motion-Feature-Extraction VLSI Employing Digital-Pixel-Sensor-Based Parallel Architecture","Hongbo Zhu;  Shibata, T.","VLSI Design & Educ. Center, Univ. of Tokyo, Tokyo, Japan","Circuits and Systems for Video Technology, IEEE Transactions on","76","2014","24","10","","1787","1799","6778799","A very-large-scale integration capable of extracting motion features from moving images in real time has been developed employing row-parallel and pixel-parallel architectures based on the digital pixel sensor technology. Directional edge filtering of input images is carried out in row-parallel processing to minimize the chip real estate. To achieve a real-time response of the system, a fully pixel-parallel architecture has been explored in adaptive binarization of filtered images for essential feature extraction as well as in their temporal integration and derivative operations. As a result, self-speed-adaptive motion feature extraction has been established. The chip was designed and fabricated in a 65-nm CMOS technology and used to build an object detection system. Motion-sensitive target image localization was demonstrated as an illustrative example.","10.1109/TCSVT.2014.2313899","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6778799&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778799","Journals & Magazines","IEEE","","1051-8215","6778799","Feature extraction|Image edge detection|Image sensors|System-on-chip|Very large scale integration","CMOS image sensors|VLSI|edge detection|feature extraction|image motion analysis|object detection","","1"
"22","22","Backward Fuzzy Rule Interpolation","Shangzhu Jin;  Ren Diao;  Chai Quek;  Qiang Shen","Dept. of Comput. Sci., Aberystwyth Univ., Aberystwyth, UK","Fuzzy Systems, IEEE Transactions on","91","2014","22","6","","1682","1698","6728621","Fuzzy rule interpolation offers a useful means to enhancing the robustness of fuzzy models by making inference possible in sparse rule-based systems. However, in real-world applications of interconnected rule bases, situations may arise when certain crucial antecedents are absent from given observations. If such missing antecedents were involved in the subsequent interpolation process, the final conclusion would not be deducible using conventional means. To address this important issue, a new approach named backward fuzzy rule interpolation and extrapolation (BFRIE) is proposed in this paper, allowing the observations, which directly relate to the conclusion to be inferred or interpolated from the known antecedents and conclusion. This approach supports both backward interpolation and extrapolation which involve multiple fuzzy rules, with each having multiple antecedents. As such, it significantly extends the existing fuzzy rule interpolation techniques. In particular, considering that there may be more than one antecedent value missing in an application problem, two methods are proposed in an attempt to perform backward interpolation with multiple missing antecedent values. Algorithms are given to implement the approaches via the use of the scale and move transformation-based fuzzy interpolation. Experimental studies that are based on a real-world scenario are provided to demonstrate the potential and efficacy of the proposed work.","10.1109/TFUZZ.2014.2303474","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6728621&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6728621","Journals & Magazines","IEEE","","1063-6706","6728621","Bismuth|Cognition|Educational institutions|Extrapolation|Fuzzy sets|Interpolation|Safety","fuzzy reasoning|interpolation|knowledge based systems","","1"
"23","23","Developing a Multiobjective Optimization Scheduling System for a Screw Manufacturer: A Refined Genetic Algorithm Approach","Tung-Kuan Liu;  Yeh-Peng Chen;  Jyh-Horng Chou","Inst. of Eng. Sci. & Technol., Nat. Kaohsiung First Univ. of Sci. & Technol., Kaohsiung, Taiwan","Access, IEEE","6287639","2014","2","","","356","364","6804631","Over time, the traditional single-objective job shop scheduling method has grown increasingly incapable of meeting the requirements of contemporary business models; thus, a multiobjective scheduling solution is required. Because of changing orders, understanding the schedule and output is a constant challenge when using a traditional manual schedule, particularly among manufacturers that produce various products. The multiobjective optimization genetic algorithm (MOGA) is a relatively superior method of solving multiobjective optimization problems; therefore, we used a MOGA to solve flexible job-shop problems for a middle-scale screw manufacturer in Taiwan. For solving the problems of incorrect jobs assign and diversity problem of traditional genetic algorithm (GA) caused by encoding method when applying traditional GA in the flexible manufacturing environment, a refined GA was proposed. Two-phase test has performed for proposed approach, using a classical benchmark of distributed and flexible jobs-shop scheduling problem, and 80 set of work orders, the empirical results indicated that the proposed model yielded substantial savings, regardless of the total order completion time, machine retooling rate, and average machine load rate.","10.1109/ACCESS.2014.2319351","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6804631&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6804631","Journals & Magazines","IEEE","","2169-3536","6804631","Genetic algorithms|Job shop scheduling|Manufacturing processes|Optimization|Screws","fasteners|flexible manufacturing systems|genetic algorithms|job shop scheduling","","1"
"24","24","4H-SiC N-Channel JFET for Operation in High-Temperature Environments","Wei-Chen Lien;  Damrongplasit, N.;  Paredes, J.H.;  Senesky, D.G.;  Liu, T.-J.K.;  Pisano, A.P.","Dept. of Electr. Eng. & Comput. Sci., Univ. of California, Berkeley, Berkeley, CA, USA","Electron Devices Society, IEEE Journal of the","6245494","2014","2","6","","164","167","6892931","Lateral depletion-mode 4H-SiC n-channel junction field-effect transistors (JFETs) are demonstrated to operate with well-behaved electrical characteristics at temperatures up to 600&#x00B0;C in air. Ti/Ni/TiW metal stacks are used to form ohmic contacts to n-type 4H-SiC with specific contact resistance of 1.14 &#x00D7; 10<sup>-3</sup> &#x03A9; cm<sup>2</sup> at 600&#x00B0;C. The on/off drain saturation current ratio and intrinsic gain at 600&#x00B0;C are 1.53 &#x00D7; 10<sup>3</sup> and 57.2, respectively. These results indicate that 4H-SiC JFETs can be used for extremely-high-temperature electronics applications.","10.1109/JEDS.2014.2355132","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6892931&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892931","Journals & Magazines","IEEE","","2168-6734","6892931","JFETs|Silicon carbide|Temperature measurement|Threshold voltage|Transconductance","contact resistance|junction gate field effect transistors|nickel|ohmic contacts|silicon compounds|titanium compounds|wide band gap semiconductors","","1"
